link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
50,16000,36100,,,92.3089724889936,1,nan,72.0,motorway,1,,"LINESTRING (-112.03732 33.43684,-112.03748 33.43679,-112.03771 33.43679,-112.0381 33.4368,-112.03819 33.43679,-112.03827 33.43678,-112.03829 33.43676)",50,,,,
51,16501,50500,,,67.94426285136554,3,nan,72.0,motorway,1,,"LINESTRING (-112.03699 33.43598,-112.03697 33.43659)",51,,,,
52,900,100,,,374.9917407768836,2,nan,88.0,motorway,1,,"LINESTRING (-112.04271 33.42722,-112.04198 33.42722,-112.04093 33.42722,-112.03972 33.42716,-112.03868 33.42707)",52,,,,
53,101,901,,,376.242496142543,2,nan,88.0,motorway,1,,"LINESTRING (-112.03867 33.42716,-112.03972 33.42726,-112.04093 33.42731,-112.04198 33.42732,-112.04271 33.42731)",53,,,,
54,902,16700,,,973.3737938362764,1,nan,72.0,motorway,1,,"LINESTRING (-112.04276 33.42724,-112.04263 33.4272,-112.04174 33.42714,-112.04125 33.42711,-112.04085 33.42707,-112.04044 33.42699,-112.03999 33.42687,-112.03953 33.42678,-112.03929 33.42676,-112.03908 33.42676,-112.03887 33.42676,-112.03865 33.42679,-112.03833 33.42687,-112.038 33.42699,-112.03767 33.42714,-112.03733 33.42739,-112.03707 33.42767,-112.03684 33.42799,-112.0367 33.42836,-112.03664 33.42883,-112.03665 33.42915,-112.03674 33.42951,-112.03688 33.43008,-112.03719 33.4312)",54,,,,
55,2100,17802,,,279.06414455366973,1,nan,120.0,motorway,1,,"LINESTRING (-112.04975 33.42779,-112.04993 33.42778,-112.05016 33.42777,-112.05037 33.42776,-112.0506 33.42775,-112.05116 33.42772,-112.05163 33.42772,-112.05204 33.42774,-112.05275 33.42775)",55,,,,
56,16902,17100,,,312.01800844782593,1,nan,120.0,motorway,1,,"LINESTRING (-112.05227 33.42753,-112.05212 33.42741,-112.05 33.42701,-112.0494 33.42694,-112.04903 33.4269)",56,,,,
57,17201,1501,,,457.44514272773654,3,nan,88.0,motorway,1,,"LINESTRING (-112.09966 33.4288,-112.09476 33.42919)",57,,,,
58,17902,18000,,,321.27788505128973,1,nan,120.0,motorway,1,,"LINESTRING (-112.0608 33.42893,-112.061 33.42903,-112.06133 33.42908,-112.06164 33.42914,-112.06238 33.42926,-112.06317 33.42934,-112.06351 33.42935,-112.0638 33.42937,-112.06419 33.42938)",58,,,,
59,2000,18302,,,292.32003282129983,1,nan,120.0,motorway,1,,"LINESTRING (-112.06613 33.42917,-112.0663 33.42913,-112.06651 33.42908,-112.06673 33.42902,-112.06695 33.42895,-112.06723 33.42886,-112.0675 33.42878,-112.06779 33.42869,-112.06806 33.42862,-112.06834 33.42856,-112.06856 33.42851,-112.06866 33.4285,-112.06913 33.42837)",59,,,,
