link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26807,14278,14282,0939:06.0-1_0940:40.001,94,0,r
26807,14278,14282,0940:40.001_0940:46.000,6,1,g
26807,14278,14282,0940:46.000_0942:20.0-1,94,0,r
26807,14278,14282,0942:20.0-1_0942:26.000,6,1,g
26807,14278,14282,0942:26.000_0944:00.000,94,0,r
26807,14278,14282,0944:00.000_0944:06.0-1,6,1,g
26807,14278,14282,0944:06.0-1_0945:40.001,94,0,r
26807,14278,14282,0945:40.001_0945:46.000,6,1,g
26807,14278,14282,0945:46.000_0947:20.0-1,94,0,r
26807,14278,14282,0947:20.0-1_0947:26.000,6,1,g
26807,14278,14282,0947:26.000_0949:00.000,94,0,r
26807,14278,14282,0949:00.000_0949:06.0-1,6,1,g
26807,14278,14282,0949:06.0-1_0950:40.001,94,0,r
26807,14278,14282,0950:40.001_0950:46.000,6,1,g
26807,14278,14282,0950:46.000_0952:20.0-1,94,0,r
26807,14278,14282,0952:20.0-1_0952:26.000,6,1,g
26807,14278,14282,0952:26.000_0954:00.000,94,0,r
26807,14278,14282,0954:00.000_0954:06.0-1,6,1,g
26807,14278,14282,0954:06.0-1_0955:40.001,94,0,r
26807,14278,14282,0955:40.001_0955:46.000,6,1,g
26807,14278,14282,0955:46.000_0957:20.0-1,94,0,r
26807,14278,14282,0957:20.0-1_0957:26.000,6,1,g
26807,14278,14282,0957:26.000_0959:00.000,94,0,r
26807,14278,14282,0959:00.000_0959:06.0-1,6,1,g
26807,14278,14282,0959:06.0-1_0959:59.000,53,0,r
26811,14279,14283,0600:00.000_0600:41.000,41,1,g
26811,14279,14283,0600:41.000_0601:40.000,59,0,r
26811,14279,14283,0601:40.000_0602:21.000,41,1,g
26811,14279,14283,0602:21.000_0603:20.000,59,0,r
26811,14279,14283,0603:20.000_0604:01.000,41,1,g
26811,14279,14283,0604:01.000_0605:00.000,59,0,r
26811,14279,14283,0605:00.000_0605:41.000,41,1,g
26811,14279,14283,0605:41.000_0606:40.000,59,0,r
26811,14279,14283,0606:40.000_0607:21.000,41,1,g
26811,14279,14283,0607:21.000_0608:20.000,59,0,r
26811,14279,14283,0608:20.000_0609:01.000,41,1,g
26811,14279,14283,0609:01.000_0610:00.000,59,0,r
26811,14279,14283,0610:00.000_0610:41.000,41,1,g
26811,14279,14283,0610:41.000_0611:40.000,59,0,r
26811,14279,14283,0611:40.000_0612:21.000,41,1,g
26811,14279,14283,0612:21.000_0613:20.000,59,0,r
26811,14279,14283,0613:20.000_0614:01.000,41,1,g
26811,14279,14283,0614:01.000_0615:00.000,59,0,r
26811,14279,14283,0615:00.000_0615:41.000,41,1,g
